ID,IPK_Sem1,IPK_Sem2,IPK_Sem3,IPK_Sem4,Kehadiran_Rata,Remedial_Total,Aktivitas_Online,Pekerjaan,Jam_Kerja_Mingguan,Pendapatan_OrangTua,Tanggungan_Keluarga,Risiko_DO
M0323,2.39,2.53,2.9,2.78,98.1,3,12,Tidak,0,8.3,6,0
M0324,3.85,4.0,3.68,4.0,96.4,2,9,Tidak,0,8.3,8,0
M0325,2.3,2.3,2.07,1.92,80.7,3,14,Tidak,0,6.0,9,1
M0326,2.19,2.39,2.7,2.28,96.6,1,10,Tidak,0,10.6,5,0
M0327,3.38,3.05,2.87,2.71,78.4,1,11,Ya,17,10.5,3,0
M0328,3.2,3.08,3.35,3.54,77.6,1,11,Tidak,0,6.6,4,0
M0329,3.11,3.32,3.83,4.0,80.6,0,9,Tidak,0,8.1,8,0
M0330,3.11,3.36,3.24,3.27,78.8,0,14,Ya,30,8.6,3,0
M0331,2.79,2.7,2.9,3.3,77.8,3,10,Tidak,0,3.7,2,0
M0332,2.35,2.33,1.98,1.57,91.4,0,8,Tidak,0,6.6,7,0
M0333,2.84,2.38,2.61,2.48,81.5,1,12,Tidak,0,4.6,4,0
M0334,2.46,2.35,2.41,2.32,87.1,4,12,Ya,29,4.4,8,1
M0335,3.29,3.56,3.7,3.67,90.3,2,10,Ya,26,6.2,1,0
M0336,2.73,2.9,2.71,2.74,83.9,1,8,Tidak,0,6.4,8,0
M0337,2.39,2.54,2.04,2.25,70.3,3,12,Tidak,0,2.8,5,1
M0338,2.64,2.65,2.8,2.67,66.5,2,13,Tidak,0,6.7,2,0
M0339,3.01,3.01,2.39,2.43,81.5,1,7,Tidak,0,5.5,1,0
M0340,2.52,2.32,2.22,2.21,78.3,0,7,Tidak,0,8.8,6,0
M0341,2.39,2.6,2.88,2.6,80.9,0,7,Tidak,0,8.3,9,0
M0342,2.92,3.05,3.11,3.08,79.8,3,16,Tidak,0,4.3,9,0
M0343,2.92,3.07,3.65,3.61,100.0,3,8,Tidak,0,8.6,9,0
M0344,2.55,2.39,2.7,2.65,66.7,1,10,Tidak,0,7.1,4,0
M0345,2.56,1.91,1.71,1.72,60.1,3,11,Ya,23,5.6,6,1
M0346,2.92,3.25,3.26,3.28,83.3,1,11,Tidak,0,5.0,10,0
M0347,2.08,1.94,1.93,1.8,76.2,1,7,Tidak,0,3.7,6,0
M0348,2.1,1.84,1.5,1.88,83.2,4,9,Tidak,0,3.6,5,0
M0349,2.44,2.65,2.37,2.02,85.8,1,11,Tidak,0,2.3,2,0
M0350,2.69,2.57,2.4,2.18,92.8,2,15,Tidak,0,6.0,7,0
M0351,2.96,3.28,2.67,3.5,64.9,1,7,Tidak,0,1.9,1,0
M0352,3.54,3.73,3.74,3.43,74.4,1,11,Tidak,0,4.3,6,0
M0353,3.23,3.44,3.37,2.96,84.3,2,12,Tidak,0,7.3,5,0
M0354,2.72,2.31,1.81,2.03,87.7,2,8,Ya,29,9.0,5,0
M0355,2.79,3.15,3.27,2.65,100.0,1,12,Ya,36,3.7,8,0
M0356,2.3,2.38,2.59,2.52,89.6,2,10,Tidak,0,7.2,9,0
M0357,2.79,2.68,2.75,3.39,79.4,1,10,Tidak,0,5.4,7,0
M0358,2.66,2.7,2.6,2.14,71.1,1,13,Tidak,0,5.0,10,0
M0359,2.96,2.43,2.61,2.02,74.4,1,9,Tidak,0,6.3,8,0
M0360,2.39,2.51,2.71,2.26,74.1,2,10,Ya,40,4.7,2,0
M0361,3.06,2.75,2.84,3.11,86.6,1,10,Tidak,0,5.8,2,0
M0362,3.57,3.16,2.91,3.25,82.6,1,12,Tidak,0,6.1,8,0
M0363,2.75,2.29,2.37,2.22,66.8,1,11,Ya,20,8.3,6,0
M0364,3.0,3.33,3.69,3.89,75.6,2,13,Ya,35,8.8,8,0
M0365,3.15,2.96,2.78,3.2,88.8,1,18,Tidak,0,4.8,9,0
M0366,2.6,3.06,3.69,4.0,83.5,2,16,Tidak,0,5.5,9,0
M0367,2.91,2.75,2.59,2.52,85.7,0,10,Ya,33,7.6,6,0
M0368,2.81,2.3,2.31,1.62,83.8,3,10,Tidak,0,5.6,8,1
M0369,2.85,2.52,2.32,2.07,96.3,1,19,Tidak,0,7.4,2,0
M0370,2.41,2.78,2.85,2.72,82.4,2,14,Tidak,0,7.8,8,0
M0371,2.81,2.76,2.24,2.16,76.1,0,13,Tidak,0,8.0,3,0
M0372,3.05,2.89,2.73,2.67,70.8,0,12,Tidak,0,6.2,1,0
M0373,3.53,3.58,3.25,3.59,82.5,2,5,Ya,39,3.7,7,0
M0374,3.28,3.43,3.47,3.85,55.6,1,6,Ya,40,5.7,1,0
M0375,3.88,4.0,4.0,3.95,78.2,0,9,Tidak,0,5.0,1,0
M0376,2.42,2.85,3.04,3.37,77.9,1,12,Tidak,0,7.6,1,0
M0377,3.24,3.13,2.42,2.53,66.4,3,10,Tidak,0,9.1,4,0
M0378,2.89,2.49,3.1,3.12,70.7,2,9,Tidak,0,9.1,4,0
M0379,3.89,3.77,3.86,4.0,88.1,0,8,Tidak,0,7.8,10,0
M0380,2.4,2.48,2.25,2.27,82.3,1,12,Ya,39,4.1,6,0
M0381,2.38,2.09,2.14,2.76,81.0,0,14,Tidak,0,8.8,10,0
M0382,2.5,2.21,2.26,1.83,83.1,2,12,Ya,27,6.9,3,0
M0383,1.74,1.84,1.64,1.5,80.9,0,9,Tidak,0,4.4,10,0
M0384,2.54,2.53,2.59,2.55,92.4,2,10,Ya,37,7.7,6,0
M0385,2.42,2.43,2.25,2.38,81.2,2,13,Ya,20,5.6,7,0
M0386,2.88,2.65,2.53,2.91,65.4,1,12,Ya,12,2.1,1,0
M0387,2.97,2.9,2.69,2.68,96.3,2,15,Tidak,0,4.0,6,0
M0388,3.74,3.46,3.03,2.6,83.7,1,13,Ya,32,5.9,10,0
M0389,3.28,3.55,3.59,3.84,74.1,0,8,Tidak,0,5.8,1,0
M0390,2.51,2.82,3.0,3.23,67.5,1,5,Tidak,0,3.9,7,0
M0391,2.35,1.8,1.95,1.5,84.0,3,10,Tidak,0,7.5,10,1
M0392,3.05,2.77,3.02,3.02,78.8,1,14,Tidak,0,7.0,5,0
M0393,2.14,1.69,1.79,1.5,95.7,2,16,Tidak,0,3.1,10,0
M0394,3.72,3.52,3.36,3.16,76.5,0,15,Tidak,0,11.3,4,0
M0395,3.39,3.36,3.61,3.34,71.6,0,8,Tidak,0,3.6,1,0
M0396,2.57,2.14,1.73,1.97,89.0,4,9,Tidak,0,5.1,9,1
M0397,1.94,1.66,1.5,1.54,89.3,2,8,Tidak,0,6.8,7,0
M0398,3.48,3.18,2.89,2.5,81.7,2,15,Tidak,0,5.1,2,0
M0399,2.74,2.8,3.12,3.38,86.8,3,9,Tidak,0,8.9,4,0
M0400,3.42,3.44,3.72,3.29,79.6,2,13,Tidak,0,5.6,4,0
M0401,2.0,1.78,1.93,2.03,82.3,1,10,Tidak,0,4.2,8,0
M0402,2.5,2.55,2.87,2.63,91.6,3,6,Tidak,0,7.2,2,0
M0403,2.8,2.64,2.38,2.27,86.3,1,7,Ya,31,1.0,5,1
M0404,2.82,2.74,2.84,2.99,78.3,0,8,Ya,21,7.1,10,0
M0405,2.57,3.07,3.03,3.19,93.5,1,12,Tidak,0,8.6,8,0
M0406,3.11,3.51,3.76,4.0,56.4,2,7,Tidak,0,1.4,6,0
M0407,2.27,1.88,1.85,1.83,100.0,2,13,Ya,37,5.2,4,0
M0408,2.73,2.98,2.86,2.95,62.9,2,8,Tidak,0,2.7,5,0
M0409,2.86,3.1,3.26,3.13,73.7,0,14,Tidak,0,6.0,2,0
M0410,3.06,2.72,2.98,3.03,79.6,0,11,Tidak,0,10.5,5,0
M0411,3.16,3.41,3.21,3.34,78.5,2,12,Tidak,0,6.5,3,0
M0412,2.24,2.7,2.68,2.65,90.1,2,13,Tidak,0,5.6,3,0
M0413,2.03,1.69,1.5,1.5,69.4,3,7,Tidak,0,1.0,7,1
M0414,3.44,3.16,2.41,2.51,82.6,2,11,Tidak,0,3.8,3,0
M0415,2.97,3.28,3.34,3.45,74.2,2,9,Tidak,0,5.7,4,0
M0416,2.43,2.51,2.69,2.49,83.0,2,19,Tidak,0,6.2,7,0
M0417,3.58,3.75,3.83,3.44,79.4,1,11,Tidak,0,6.7,3,0
M0418,2.86,2.96,2.38,2.82,80.9,1,14,Tidak,0,7.5,10,0
M0419,3.39,3.51,3.4,3.55,74.5,2,9,Ya,33,4.2,10,0
M0420,2.83,2.43,1.76,1.69,74.9,0,7,Ya,23,6.1,2,0
M0421,3.83,4.0,4.0,3.66,82.9,4,13,Tidak,0,5.0,10,0
M0422,3.68,4.0,3.67,3.42,89.4,0,18,Tidak,0,4.1,7,0
M0423,2.68,2.61,2.99,3.38,74.0,1,4,Tidak,0,4.3,5,0
M0424,3.29,3.28,3.56,3.6,71.3,3,5,Tidak,0,7.1,1,0
M0425,3.12,2.66,2.39,2.22,86.1,1,6,Tidak,0,1.0,10,1
M0426,3.48,3.63,3.29,3.44,79.7,0,8,Ya,36,2.3,8,1
M0427,2.32,2.49,2.6,2.36,88.3,0,11,Tidak,0,12.3,3,0
M0428,3.14,3.12,2.87,3.32,70.9,2,10,Tidak,0,4.7,7,0
M0429,3.33,3.67,3.7,4.0,62.2,0,14,Tidak,0,8.9,6,0
M0430,1.92,1.82,1.68,1.54,74.7,2,15,Ya,22,5.9,10,1
M0431,2.21,2.38,1.85,1.66,72.3,0,11,Tidak,0,4.9,6,0
M0432,1.78,1.5,1.5,1.5,79.2,4,3,Tidak,0,7.3,8,1
M0433,2.67,2.66,2.73,2.29,73.6,0,9,Tidak,0,6.2,4,0
M0434,3.16,3.11,2.94,2.54,87.4,1,13,Tidak,0,5.6,4,0
M0435,3.55,3.62,3.45,3.49,77.1,3,9,Ya,20,5.9,3,0
M0436,2.84,2.73,2.94,2.84,81.5,2,11,Tidak,0,6.8,1,0
M0437,3.61,3.57,3.92,3.52,81.6,2,6,Tidak,0,4.6,10,0
M0438,2.11,2.36,2.28,2.2,81.9,2,7,Tidak,0,5.0,3,0
M0439,1.95,1.82,1.72,1.87,79.8,2,13,Tidak,0,4.0,1,0
M0440,2.77,2.29,2.44,2.6,85.1,1,9,Tidak,0,3.6,6,0
M0441,2.99,3.51,3.1,2.53,72.0,0,8,Tidak,0,9.7,8,0
M0442,2.78,3.19,3.26,3.22,94.0,1,15,Tidak,0,4.2,3,0
M0443,1.77,1.5,1.67,1.5,77.6,1,5,Ya,40,8.0,4,0
M0444,2.76,2.97,3.17,3.44,66.9,1,9,Tidak,0,5.3,5,0
M0445,2.15,2.0,1.5,1.74,81.9,1,8,Tidak,0,7.1,7,0
M0446,3.13,3.21,2.98,2.71,71.5,1,12,Ya,36,6.0,6,0
M0447,2.98,3.07,2.81,2.58,86.7,1,5,Ya,38,2.4,2,0
M0448,2.33,2.26,2.29,2.15,100.0,3,10,Ya,21,6.1,7,1
M0449,2.54,2.3,2.44,1.76,72.1,2,10,Tidak,0,7.2,8,0
M0450,2.27,2.06,2.51,2.61,83.3,6,12,Tidak,0,4.1,1,0
M0451,2.77,2.5,2.35,2.27,62.4,4,11,Ya,23,10.6,6,1
M0452,3.28,3.03,2.88,3.17,84.5,1,10,Ya,25,7.6,9,0
M0453,2.31,2.29,2.63,2.3,71.1,1,10,Tidak,0,7.6,7,0
M0454,3.05,2.84,2.93,2.74,73.8,1,9,Ya,40,7.9,5,0
M0455,2.53,2.73,3.11,2.66,69.0,2,13,Tidak,0,1.3,10,1
M0456,2.4,2.85,2.94,2.64,87.3,1,7,Tidak,0,7.4,10,0
M0457,2.75,2.58,2.23,1.88,90.1,6,11,Tidak,0,10.6,9,1
M0458,2.28,2.35,1.95,2.25,80.2,0,10,Tidak,0,7.5,2,0
M0459,2.52,2.67,2.2,1.99,71.4,3,13,Tidak,0,5.5,7,1
M0460,2.2,2.34,2.54,2.58,95.9,1,3,Ya,26,3.8,9,1
M0461,3.78,3.8,4.0,3.89,72.5,1,8,Tidak,0,3.6,2,0
M0462,2.82,3.04,3.59,3.21,58.4,1,10,Tidak,0,3.3,10,0
M0463,2.45,2.59,2.84,2.79,84.6,1,11,Ya,29,5.2,6,0
M0464,2.91,2.54,2.89,3.07,69.0,1,15,Tidak,0,3.9,9,0
M0465,2.74,3.0,2.83,2.47,89.9,1,12,Tidak,0,5.7,3,0
M0466,2.69,2.96,2.61,2.85,76.2,1,15,Ya,33,6.4,8,0
M0467,3.11,2.88,3.14,2.89,86.0,0,9,Tidak,0,2.6,5,0
M0468,3.18,3.19,3.32,3.18,94.0,2,5,Tidak,0,4.5,7,0
M0469,2.53,2.73,2.76,2.92,67.9,1,16,Tidak,0,4.8,3,0
M0470,2.51,2.45,2.57,2.37,74.3,1,12,Tidak,0,4.8,8,0
M0471,2.66,2.98,3.08,3.09,79.2,0,12,Tidak,0,6.0,2,0
M0472,1.65,2.36,2.75,2.66,95.4,1,15,Tidak,0,6.2,8,0
M0473,2.04,1.8,2.19,2.23,73.4,0,13,Ya,40,5.2,2,0
M0474,3.48,3.07,3.23,2.52,74.1,3,14,Tidak,0,4.7,7,0
M0475,3.62,3.71,3.96,3.41,84.8,4,6,Tidak,0,6.0,2,0
M0476,2.68,2.9,3.05,3.23,74.2,1,7,Tidak,0,8.9,7,0
M0477,3.09,3.02,2.88,3.19,81.5,0,6,Tidak,0,3.1,1,0
M0478,2.96,3.4,3.63,3.36,64.5,1,7,Tidak,0,8.3,6,0
M0479,4.0,3.6,3.18,3.11,100.0,2,10,Tidak,0,2.7,10,0
M0480,3.36,3.57,3.89,3.98,66.5,0,7,Tidak,0,6.7,7,0
M0481,2.74,2.56,2.2,2.41,76.8,0,12,Ya,12,8.1,4,0
M0482,2.32,2.84,2.93,2.32,79.7,2,14,Tidak,0,3.4,1,0
M0483,2.0,2.6,2.35,2.08,99.1,2,12,Tidak,0,6.7,6,0
M0484,2.9,2.67,2.84,2.74,66.8,2,13,Tidak,0,3.9,4,0
M0485,2.42,2.26,2.25,2.46,99.8,1,9,Tidak,0,8.3,3,0
M0486,2.09,2.35,1.87,2.62,87.6,2,11,Tidak,0,2.8,4,0
M0487,2.48,2.36,2.49,2.42,84.2,2,6,Tidak,0,4.2,6,0
M0488,2.26,2.25,2.08,1.66,70.2,2,5,Ya,40,6.3,5,0
M0489,3.64,3.65,3.91,4.0,85.7,1,10,Ya,10,7.4,2,0
M0490,3.24,2.66,2.66,3.06,72.8,2,4,Ya,13,6.2,2,0
M0491,2.8,2.8,2.92,2.95,92.7,1,7,Tidak,0,7.0,3,0
M0492,3.54,3.33,3.04,2.77,70.3,3,13,Ya,20,4.9,6,0
M0493,2.84,2.69,2.51,2.8,78.9,1,7,Tidak,0,3.8,1,0
M0494,2.37,2.8,2.66,2.86,74.4,2,9,Tidak,0,8.9,7,0
M0495,3.56,3.18,3.44,3.13,70.1,0,12,Tidak,0,7.0,8,0
M0496,3.07,3.31,3.81,3.92,87.4,0,6,Tidak,0,5.0,7,0
M0497,2.28,2.2,1.96,2.26,85.4,3,12,Ya,20,2.7,3,1
M0498,2.7,2.62,2.94,3.29,92.1,3,4,Tidak,0,8.4,6,0
M0499,2.36,2.6,1.95,1.93,62.2,0,8,Ya,31,8.5,4,1
M0500,2.11,2.21,1.85,1.74,90.6,1,7,Tidak,0,5.6,5,0
M0501,3.26,3.43,3.14,3.51,100.0,1,6,Ya,12,4.7,3,0
M0502,3.75,4.0,3.59,3.23,75.5,3,15,Tidak,0,5.5,5,0
M0503,2.1,2.0,1.52,1.65,99.0,1,16,Tidak,0,5.6,6,0
M0504,3.08,2.9,3.02,2.61,77.4,1,12,Tidak,0,7.5,8,0
M0505,2.47,2.14,2.08,2.4,66.3,1,11,Tidak,0,3.7,6,0
M0506,2.56,2.31,2.42,2.34,76.9,3,8,Ya,29,4.8,9,1
M0507,2.5,3.38,3.59,3.97,90.5,4,9,Tidak,0,5.6,10,0
M0508,2.37,2.74,2.82,2.97,71.6,0,8,Tidak,0,6.5,10,0
M0509,2.82,2.41,2.61,2.24,74.0,1,10,Tidak,0,7.7,10,0
M0510,2.38,1.98,1.96,2.39,85.9,1,6,Tidak,0,6.6,10,0
M0511,2.94,3.08,2.72,3.19,80.0,0,9,Ya,35,9.5,4,0
M0512,2.77,2.93,3.25,3.51,85.8,0,8,Tidak,0,4.0,2,0
M0513,2.68,2.84,2.66,2.43,82.4,2,16,Tidak,0,8.9,9,0
M0514,2.35,2.27,1.99,1.9,84.8,1,4,Tidak,0,4.1,3,0
M0515,2.51,2.47,2.42,2.46,75.7,2,15,Tidak,0,5.2,7,0
M0516,3.18,3.28,3.01,2.8,82.3,2,9,Tidak,0,6.8,4,0
M0517,3.05,3.08,2.95,3.46,70.7,1,7,Ya,17,8.4,1,0
M0518,2.31,1.64,1.74,1.78,92.9,1,7,Ya,17,5.2,8,0
M0519,2.85,2.78,2.88,2.07,73.7,0,5,Tidak,0,6.8,4,0
M0520,3.18,2.92,2.65,2.75,91.3,1,9,Tidak,0,5.4,6,0
M0521,1.97,2.02,1.87,1.77,77.7,0,10,Tidak,0,1.4,7,1
M0522,3.07,3.97,4.0,3.98,82.0,2,5,Tidak,0,5.9,8,0
M0523,2.47,2.58,2.73,2.62,75.1,6,14,Tidak,0,3.5,10,0
M0524,3.09,3.0,3.62,3.86,69.8,2,13,Tidak,0,8.5,2,0
M0525,2.42,2.7,3.05,3.39,62.6,1,11,Tidak,0,8.6,9,0
M0526,1.9,2.04,2.38,2.46,69.4,1,12,Ya,40,4.3,10,1
M0527,1.99,2.12,1.7,1.6,76.8,5,13,Tidak,0,4.0,3,0
M0528,2.82,3.0,3.23,3.22,82.1,0,7,Tidak,0,4.7,1,0
M0529,2.93,3.55,3.53,3.54,90.1,4,8,Ya,35,7.1,2,0
M0530,2.35,2.01,1.84,1.6,75.5,1,11,Tidak,0,7.1,8,0
M0531,3.12,3.26,3.31,3.48,71.2,0,6,Tidak,0,12.8,10,0
M0532,1.97,1.69,1.97,2.11,65.6,0,8,Tidak,0,5.4,6,0
M0533,2.77,2.94,3.09,3.55,84.8,0,8,Tidak,0,6.2,1,0
M0534,2.19,1.91,1.65,2.03,93.8,1,11,Ya,16,9.9,9,0
M0535,2.47,2.34,2.56,2.35,92.7,2,9,Ya,12,6.6,7,0
M0536,2.82,2.73,2.54,2.79,87.1,0,9,Ya,30,3.8,10,0
M0537,2.37,2.66,2.73,2.44,86.4,1,10,Tidak,0,6.7,3,0
M0538,2.61,2.89,2.8,3.01,97.0,0,6,Ya,33,7.4,7,0
M0539,3.3,2.93,2.86,2.71,83.3,0,14,Tidak,0,5.3,6,0
M0540,2.51,2.53,2.76,2.45,86.5,1,8,Tidak,0,7.6,3,0
M0541,3.22,3.01,2.7,2.78,76.8,2,11,Ya,28,7.4,8,0
M0542,2.24,1.86,2.44,1.64,66.4,2,11,Tidak,0,5.1,1,0
M0543,3.06,2.99,2.44,1.91,73.2,1,11,Tidak,0,9.1,5,0
M0544,3.52,3.43,3.25,3.2,79.9,0,12,Tidak,0,4.4,8,0
M0545,1.56,2.29,2.4,2.42,80.6,4,11,Tidak,0,6.9,3,0
M0546,2.4,2.53,2.71,2.6,99.3,4,7,Tidak,0,4.8,10,0
M0547,3.09,2.68,2.65,2.18,80.8,1,15,Tidak,0,2.6,6,0
M0548,2.7,2.53,2.51,2.26,91.8,1,15,Tidak,0,6.7,10,0
M0549,2.99,3.3,3.42,3.54,75.6,1,12,Ya,20,9.9,2,0
M0550,2.5,3.13,3.06,3.23,76.9,1,8,Tidak,0,5.9,9,0
M0551,2.84,2.36,2.78,2.78,66.7,2,7,Tidak,0,3.0,2,0
M0552,2.72,2.16,2.41,2.76,72.6,0,7,Tidak,0,6.4,5,0
M0553,3.38,3.94,4.0,4.0,85.3,1,9,Ya,36,4.4,3,0
M0554,2.93,3.05,2.76,2.54,80.1,1,6,Tidak,0,8.1,10,0
M0555,2.97,2.71,2.69,2.61,89.4,0,13,Tidak,0,5.5,9,0
M0556,2.59,2.75,2.66,2.24,81.8,0,9,Ya,17,2.5,9,1
M0557,2.56,1.77,1.5,1.5,76.5,3,15,Tidak,0,7.0,7,1
M0558,2.58,2.58,2.69,3.02,100.0,2,10,Ya,27,6.4,10,0
M0559,3.0,3.1,2.94,3.15,79.1,1,9,Ya,28,5.4,5,0
M0560,2.59,2.87,3.07,3.49,91.6,0,10,Tidak,0,3.9,9,0
M0561,2.94,2.64,2.32,2.23,76.0,0,8,Tidak,0,9.6,7,0
M0562,3.84,3.87,4.0,4.0,87.1,0,11,Tidak,0,5.1,2,0
M0563,3.24,2.96,2.69,2.63,89.3,1,12,Tidak,0,7.8,10,0
M0564,2.64,2.72,2.79,3.23,82.1,0,8,Tidak,0,5.1,1,0
M0565,3.4,3.13,3.37,3.36,56.5,1,8,Tidak,0,7.4,10,0
M0566,2.6,2.48,2.31,2.52,80.2,0,6,Tidak,0,6.1,10,0
M0567,1.78,1.5,1.76,2.2,92.3,1,8,Ya,36,6.1,4,0
M0568,2.3,2.5,2.13,2.07,85.3,2,17,Tidak,0,4.3,10,0
M0569,1.86,2.12,2.56,2.63,84.5,1,12,Ya,20,7.1,8,0
M0570,2.62,2.55,2.55,2.94,62.8,3,7,Tidak,0,8.8,6,0
M0571,2.81,2.82,2.64,2.6,72.8,4,6,Ya,29,3.9,2,0
M0572,3.64,3.21,3.12,2.72,84.1,3,9,Ya,18,4.3,5,0
M0573,2.96,2.87,3.11,3.75,84.1,1,6,Tidak,0,11.9,9,0
M0574,2.69,2.67,2.49,2.35,92.1,1,18,Tidak,0,4.0,6,0
M0575,3.21,4.0,3.78,3.83,78.6,2,6,Tidak,0,4.9,6,0
M0576,1.69,1.5,1.5,1.85,84.1,2,10,Tidak,0,8.8,7,0
M0577,2.92,3.36,3.01,2.83,80.2,1,12,Ya,13,8.8,5,0
M0578,3.19,3.49,4.0,3.7,70.1,0,7,Tidak,0,1.1,3,0
M0579,2.06,2.14,1.97,2.05,57.4,2,11,Tidak,0,7.5,3,0
M0580,3.37,3.9,4.0,3.46,84.3,0,10,Tidak,0,5.6,5,0
M0581,2.97,3.08,3.14,3.05,81.7,2,11,Tidak,0,5.7,4,0
M0582,2.59,2.71,2.41,2.48,73.8,0,9,Tidak,0,8.3,5,0
M0583,3.12,3.1,3.1,3.02,63.8,2,10,Tidak,0,5.3,9,0
M0584,3.94,4.0,4.0,3.54,86.3,3,9,Tidak,0,5.0,5,0
M0585,2.89,3.22,3.16,3.64,77.3,5,2,Tidak,0,5.4,4,0
M0586,2.92,2.73,3.09,3.12,85.6,1,6,Tidak,0,5.3,4,0
M0587,2.57,2.17,2.48,2.91,98.6,2,14,Tidak,0,6.7,1,0
M0588,2.38,2.32,2.6,2.52,58.6,1,13,Tidak,0,8.6,10,0
M0589,3.22,2.98,2.84,2.58,73.0,0,7,Tidak,0,6.9,4,0
M0590,2.37,2.35,2.03,2.11,77.9,2,11,Tidak,0,6.0,4,0
M0591,2.84,3.21,3.03,2.97,94.5,1,9,Ya,23,7.1,9,0
M0592,2.56,2.42,2.48,2.13,63.6,1,18,Tidak,0,7.6,4,0
M0593,3.04,3.03,3.19,3.63,99.4,0,11,Ya,31,7.2,7,0
M0594,2.97,2.99,2.34,2.15,81.4,1,13,Ya,19,4.7,1,0
M0595,3.32,3.57,3.57,3.02,79.0,2,12,Ya,16,6.8,7,0
M0596,2.54,1.87,1.92,2.32,78.0,2,6,Ya,34,1.8,2,1
M0597,2.67,2.49,2.41,2.26,75.6,1,11,Tidak,0,9.1,8,0
M0598,2.31,2.37,2.76,2.58,90.5,1,7,Tidak,0,9.1,1,0
M0599,2.58,2.94,3.07,2.54,69.3,0,10,Tidak,0,7.8,10,0
M0600,2.99,2.84,3.23,3.75,83.5,1,11,Tidak,0,8.5,3,0
M0601,3.18,2.62,2.56,2.17,76.2,2,10,Ya,34,5.9,8,1
M0602,2.34,2.53,2.81,2.83,72.4,1,8,Tidak,0,4.5,10,0
M0603,3.23,3.04,3.53,3.8,100.0,2,20,Tidak,0,3.5,8,0
M0604,3.48,3.12,3.51,3.64,84.2,2,18,Ya,21,8.0,5,0
M0605,3.01,2.82,2.49,2.47,86.1,2,17,Ya,17,4.5,5,0
M0606,3.74,3.68,3.6,3.09,91.4,1,10,Tidak,0,5.3,8,0
M0607,2.41,2.23,2.13,1.89,65.8,0,8,Ya,21,6.4,10,1
M0608,2.18,1.52,1.67,1.73,97.5,3,14,Tidak,0,5.9,5,0
M0609,1.91,2.18,2.39,2.15,54.9,5,19,Ya,37,6.5,9,1
M0610,3.55,3.93,3.68,3.74,72.3,0,11,Ya,29,2.4,1,0
M0611,3.13,3.33,3.35,3.55,75.4,0,10,Ya,19,5.5,5,0
M0612,2.77,2.43,1.82,2.11,85.8,1,11,Tidak,0,7.6,3,0
M0613,2.94,2.88,3.31,2.94,82.2,2,13,Ya,19,5.1,3,0
M0614,2.24,2.24,2.09,2.75,78.3,1,11,Ya,39,4.3,2,0
M0615,4.0,4.0,4.0,4.0,79.9,2,11,Tidak,0,7.9,3,0
M0616,2.86,3.06,2.97,2.97,70.2,4,5,Tidak,0,5.2,7,0
M0617,2.85,2.63,2.97,3.3,65.0,1,9,Tidak,0,6.4,8,0
M0618,3.16,3.18,2.33,3.04,87.3,1,15,Tidak,0,5.6,8,0
M0619,3.04,3.18,3.18,2.75,86.9,2,5,Tidak,0,6.0,8,0
M0620,2.91,3.35,3.32,3.25,95.8,2,12,Ya,13,9.1,1,0
M0621,2.4,2.61,2.47,1.76,72.1,2,8,Tidak,0,7.1,7,0
M0622,3.04,3.28,3.8,3.86,86.9,1,12,Tidak,0,3.6,2,0
M0623,3.74,3.77,3.5,3.61,77.2,2,12,Tidak,0,5.3,10,0
M0624,3.47,3.89,4.0,3.99,91.9,0,10,Tidak,0,5.2,4,0
M0625,3.6,3.72,3.83,3.63,90.2,0,11,Ya,17,6.4,5,0
M0626,2.54,2.28,2.66,2.05,82.1,3,12,Tidak,0,7.8,1,0
M0627,2.31,2.73,2.53,2.64,76.6,5,10,Tidak,0,6.1,4,0
M0628,2.74,2.95,2.73,3.17,89.6,2,14,Tidak,0,6.0,4,0
M0629,2.83,2.7,3.03,2.85,86.5,0,10,Tidak,0,1.5,9,0
M0630,3.35,3.21,3.34,3.47,73.2,3,9,Tidak,0,8.6,9,0
M0631,1.95,2.04,1.58,1.5,66.7,0,13,Ya,29,5.7,10,1
M0632,3.56,3.7,3.54,3.68,77.1,0,11,Tidak,0,6.5,1,0
M0633,2.72,2.78,2.9,2.78,95.2,0,13,Tidak,0,6.5,8,0
M0634,2.59,2.68,2.93,2.7,91.5,1,9,Ya,22,4.5,4,0
M0635,2.29,2.8,2.6,2.37,68.9,3,10,Tidak,0,5.5,4,1
M0636,1.97,2.29,1.5,1.5,68.3,2,12,Tidak,0,4.4,5,0
M0637,3.21,3.27,3.43,3.54,92.7,0,8,Tidak,0,8.8,2,0
M0638,2.84,3.12,2.75,2.36,68.6,0,8,Ya,32,1.6,1,1
M0639,2.16,1.85,1.5,1.5,85.1,0,8,Tidak,0,4.1,5,0
M0640,2.15,2.27,1.5,1.5,73.8,0,9,Ya,25,5.4,7,1
M0641,2.63,3.17,3.41,3.08,96.2,1,9,Tidak,0,9.0,10,0
M0642,3.63,3.56,3.6,4.0,72.3,4,15,Tidak,0,7.4,9,0
M0643,2.67,2.42,2.35,2.09,91.4,1,10,Tidak,0,2.7,2,0
M0644,2.05,1.85,2.27,2.07,81.8,4,6,Ya,27,5.8,8,1
M0645,2.68,2.35,2.54,2.25,82.5,0,10,Tidak,0,7.4,7,0
M0646,2.66,2.42,2.9,3.44,60.3,0,9,Tidak,0,10.5,2,0
